id,map_name,tga_filename,C4a,C4b,CT0,CT1,CT2,TER0,TER1,TER2,H0,H1,R0,R1,V0,V1,START0,START1,FINISH0,FINISH1,SM1,SM2,SM3,SM4,SM5,RED,BLUE
0,dm_tunnel,LoadingBg_DM_Tunnel,,,925 104,925 391,,730 105,730 391,,,,,,,,,,,,,,,,,,
1,cs_camouflage,LoadingBg_CS_Camouflage,,,619 270,833 286,,653 101,726 129,845 106,767 124,842 160,742 292,,,,,,,,,,,,,,
2,cs_camouflage2,LoadingBg_CS_Camouflage2,,,914 289,599 299,,653 101,726 129,845 106,767 124,842 160,742 292,,,,,,,,,,,,,,
3,de_rex,LoadingBg_DE_Rex,734 302,808 154,573 99,,,930 356,,,,,,,,,,,,,,,,,,,
4,de_dust,LoadingBg_DE_Dust,779 94,947 209,947 269,,,578 148,,,,,,,,,,,,,,,,,,,
5,de_dust2,LoadingBg_DE_Dust2,642 108,628 359,656 218,,,945 292,,,,,,,,,,,,,,,,,,,
6,de_aztec,LoadingBg_DE_Aztec,710 300,573 108,492 177,,,938 186,,,,,,,,,,,,,,,,,,,
7,de_inferno,LoadingBg_DE_Inferno,748 85,908 308,944 181,,,557 325,,,,,,,,,,,,,,,,,,,
8,de_train,LoadingBg_DE_Train,830 374,900 262,936 395,,,594 123,,,,,,,,,,,,,,,,,,,
9,de_prodigy,LoadingBg_DE_Prodigy,782 243,746 370,757 425,,,799 148,,,,,,,,,,,,,,,,,,,
10,de_cbble,LoadingBg_DE_Cbble,935 373,880 93,937 342,,,616 187,,,,,,,,,,,,,,,,,,,
11,de_airstrip,LoadingBg_DE_Airstrip,730 99,899 295,887 364,,,500 312,,,,,,,,,,,,,,,,,,,
12,de_chateau,LoadingBg_DE_Chateau,808 353,695 138,544 262,,,920 248,,,,,,,,,,,,,,,,,,,
13,de_nuke,LoadingBg_DE_Nuke,752 159,752 214,950 205,,,473 204,,,,,,,,,,,,,,,,,,,
14,de_piranesi,LoadingBg_DE_Piranesi,693 345,580 79,498 302,,,887 213,,,,,,,,,,,,,,,,,,,
15,de_storm,LoadingBg_DE_Storm,550 402,604 102,645 101,,,929 377,,,,,,,,,,,,,,,,,,,
16,de_survivor,LoadingBg_DE_Survivor,882 363,585 334,758 425,,,738 98,,,,,,,,,,,,,,,,,,,
17,de_torn,LoadingBg_DE_Torn,868 174,850 382,942 194,,,603 270,,,,,,,,,,,,,,,,,,,
18,de_vertigo,LoadingBg_DE_Vertigo,929 178,640 83,944 140,,,807 98,,,,,,,,,,,,,,,,,,,
19,cs_italy,LoadingBg_CS_Italy,,,908 264,,,497 118,,,487 84,,957 264,,,,,,,,,,,,,,
20,cs_office,LoadingBg_CS_Office,,,678 408,,,895 218,,,894 152,,732 404,,,,,,,,,,,,,,
21,cs_747,LoadingBg_CS_747,,,512 219,,,714 238,,,767 238,876 238,670 289,606 318,,,,,,,,,,,,,
22,cs_assault,LoadingBg_CS_Assault,,,863 230,,,619 186,,,563 303,,871 268,,,,,,,,,,,,,,
23,cs_backalley,LoadingBg_CS_Backalley,,,661 369,,,843 254,861 309,,779 230,757 261,628 230,869 393,,,,,,,,,,,,,
24,cs_estate,LoadingBg_CS_Estate,,,920 223,,,695 293,,,700 254,,926 264,,,,,,,,,,,,,,
25,cs_havana,LoadingBg_CS_Havana,,,753 334,,,732 190,,,741 186,741 150,621 189,828 165,,,,,,,,,,,,,
26,cs_militia,LoadingBg_CS_Militia,,,930 243,,,611 240,,,632 156,577 212,938 274,,,,,,,,,,,,,,
27,cs_siege,LoadingBg_CS_Siege,,,578 120,,,929 327,,,885 331,956 384,779 291,,,,,,,,,,,,,,
28,as_oilrig,LoadingBg_AS_Oilrig,,,636 120,,,690 223,581 276,626 391,,,928 195,,690 120,,,,,,,,,,,,
29,dm_ae,LoadingBg_DM_AE,,,655 210,,,916 210,,,,,,,,,,,,,,,,,,,
30,awp_greesia,LoadingBg_awp_greesia,,,510 230,,,918 230,,,,,,,,,,,,,,,,,,,
31,zm_abyss,LoadingBg_zm_abyss,,,,,,,,,,,,,,,,,,,,,,,,,
32,de_dazzling_cz,LoadingBg_DE_dazzlingKR,753 102,752 344,948 273,,,540 327,,,,,,,,,,,,,,,,,,,
33,dm_moonlight,LoadingBg_ka_moonlight,,,603 209,,,896 209,,,,,,,,,,,,,,,,,,,
50,de_stadium_cz,LoadingBg_DE_Stadium_cz,720 221,761 360,540 233,,,920 133,,,,,,,,,,,,,,,,,,,
51,de_sienna_cz,LoadingBg_DE_sienna_cz,780 163,661 387,583 290,,,923 130,,,,,,,,,,,,,,,,,,,
52,de_vostok_cz,LoadingBg_DE_vostok_cz,947 201,765 104,671 221,,,913 376,,,,,,,,,,,,,,,,,,,
53,de_fastline_cz,LoadingBg_DE_Fastline_cz,643 181,523 382,557 414,,,931 213,,,,,,,,,,,,,,,,,,,
54,de_truth_cz,LoadingBg_DE_truth_cz,757 311,525 129,494 188,,,931 198,,,,,,,,,,,,,,,,,,,
55,DM_dust2,LoadingBg_Dm_dust2,,,,,,,,,,,,,,,,,,,,,,,,,
60,DM_gallery,LoadingBg_DM_Gallery,,,771 375,,,771 105,,,,,,,,,,,,,,,,,,,
61,de_tides_cz,LoadingBg_DE_tides_cz,829 246,655 365,604 383,,,634 96,,,,,,,,,,,,,,,,,,,
62,de_vegas,LoadingBg_de_vegas,834 350,561 250,567 300,,,886 110,,,,,,,,,,,,,,,,,,,
63,zm_abyss2,LoadingBg_zm_abyss2,,,,,,,,,,,,,,,,,,,,,,,,,
64,cs_downed_cz,LoadingBg_cs_downed_cz,,,933 256,,,599 236,,,520 159,493 331,942 289,,,,,,,,,,,,,,
65,DM_industry,LoadingBg_DM_industry,,,497 161,,,934 190,,,,,,,,,,,,,,,,,,,
66,de_corruption_cz,LoadingBg_de_corruption_cz,903 318,947 110,934 369,,,600 284,,,,,,,,,,,,,,,,,,,
67,DM_union,LoadingBg_DM_union,,,944 207,,,540 215,,,,,,,,,,,,,,,,,,,
68,awp_ruin,loadingbg_awp_ruin,,,598 368,880 318,,548 146,837 97,,,,,,,,,,,,,,,,,,
69,cso_jump1,LoadingBg_CSO_Jump1,,,,,,,,,,,,,,,514 119,,931 143,,,,,,,,
70,cso_run1,LoadingBg_CSO_Run1,,,,,,,,,,,,,,,876 334,,673 85,,,,,,,,
71,cso_jump2,LoadingBg_CSO_Jump2,,,,,,,,,,,,,,,755 177,,567 153,,,,,,,,
72,DM_champ,LoadingBg_DM_champ,,,774 415,,,938 100,,,,,,,,,,,,,,,,,,,
73,ZM_abyss3,LoadingBg_ZM_ABYSS3,,,,,,,,,,,,,,,,,,,,,,,,,
74,zs_lostcity,LoadingBg_zs_lostcity,,,,,,,,,,,,,,,,,,,,,,,,,
75,zs_2gate,LoadingBg_zs_2gate,,,,,,,,,,,,,,,,,,,,,,,,,
76,zs_trap,LoadingBg_zs_trap,,,,,,,,,,,,,,,,,,,,,,,,,
77,zs_lastclue,LoadingBg_zs_lastclue,,,,,,,,,,,,,,,,,,,,,,,,,
78,cso_run2,LoadingBg_CSO_Run2,,,,,,,,,,,,,,,489 349,,602 118,,,,,,,,
